Countries,2020,2021,2022,2023,Average demand,Year-on-year % change
China,641.3,993.7,824.9,959.1,854.8,16
India,446.4,797.3,774.1,761.0,694.7,-2
United States,187.3,264.9,252.4,252.5,239.3,0
Germany,166.0,173.7,196.5,57.5,148.4,-71
Turkey,147.0,95.3,121.7,192.3,139.1,58
Islamic Republic of Iran,56.3,51.8,71.7,71.8,62.9,0
Russian Federation,34.8,46.8,60.7,71.2,53.4,17
Vietnam,39.8,43.0,59.1,55.5,49.4,-6
Indonesia,37.6,46.8,49.7,45.5,44.9,-9
Saudi Arabia,31.1,44.2,50.1,52.3,44.4,4
UAE,26.7,41.6,55.3,51.2,43.7,-7
Switzerland,42.9,43.8,48.7,35.8,42.8,-27
Egypt,23.5,34.1,51.5,57.0,41.5,11
Pakistan,28.8,41.2,44.3,43.0,39.3,-3
"Korea, Republic of",35.4,39.6,32.4,27.6,33.7,-15
United Kingdom,29.6,34.8,35.7,31.0,32.8,-13
Canada,20.8,26.0,27.5,23.8,24.5,-13
Australia,0.0,30.9,36.2,25.1,23.0,-31
Italy,13.8,17.3,19.4,18.7,17.3,-4
Kuwait,13.0,16.6,18.9,19.6,17.0,4
France,14.0,17.0,20.0,16.9,17.0,-16
Brazil,16.0,16.2,17.0,17.0,16.6,-1
Malaysia,13.1,14.9,18.5,16.6,15.8,-10
Mexico,13.3,14.1,14.2,14.7,14.1,3
Singapore,9.4,11.5,14.9,12.5,12.1,-16
Austria,11.6,12.2,14.2,4.1,10.5,-71
Japan,4.5,15.6,4.3,15.9,10.1,273
Thailand,-81.5,36.7,38.4,43.2,9.2,12
Spain,6.9,7.8,8.1,8.2,7.7,1
Sri Lanka,4.3,4.1,3.9,10.5,5.7,168
